time,frequency,confidence
21.900,164.814,0.379
21.920,164.814,0.486
21.940,168.003,0.581
21.960,168.052,0.653
21.980,168.018,0.709
22.000,171.286,0.753
22.020,171.696,0.786
22.040,174.614,0.812
22.060,178.009,0.831
22.080,178.009,0.845
22.100,174.614,0.853
22.120,174.614,0.858
22.140,174.614,0.860
22.160,174.614,0.858
22.180,174.614,0.854
22.200,174.614,0.844
22.220,178.009,0.829
22.240,178.009,0.836
22.260,178.009,0.833
22.280,181.469,0.833
22.300,181.469,0.848
22.320,181.469,0.852
22.340,181.469,0.849
22.360,181.469,0.839
22.380,181.469,0.822
22.400,178.009,0.798
22.420,178.009,0.768
22.440,181.469,0.734
22.460,181.469,0.716
22.480,144.032,0.745
22.500,144.032,0.765
22.520,141.943,0.780
22.540,141.286,0.810
22.560,135.948,0.823
22.580,130.813,0.843
22.600,128.318,0.857
22.620,125.871,0.866
22.640,128.318,0.869
22.660,130.813,0.868
22.680,133.356,0.862
22.700,133.356,0.852
22.720,130.813,0.836
22.740,125.871,0.816
22.760,123.471,0.791
22.780,118.807,0.793
22.800,118.807,0.808
22.820,116.541,0.821
22.840,116.541,0.831
22.860,116.541,0.838
22.880,114.319,0.842
22.900,114.319,0.845
22.920,116.541,0.846
22.940,116.541,0.846
22.960,116.541,0.845
22.980,118.346,0.844
23.000,116.541,0.842
23.020,116.541,0.839
23.040,116.541,0.834
23.060,116.541,0.826
23.080,116.541,0.822
23.100,116.541,0.827
23.120,118.807,0.830
23.140,118.807,0.830
23.160,118.807,0.827
23.180,118.807,0.821
